Project_Name,Subproject,Sample_ID,Source_ID,Strain_ID,Plasmid_ID,Nucleic_Acids_ID,A260,A280,Ratio,nDrop,Qubit,Quantification_Method,Extractor,Date_Extracted,Storage_Location,Storage_Box,Kit_Name,Lot_Number,Kit_Name_2,Lot_Number_2,What_is_this?,Empty,Notes
NIH_Leech_Microbiome,HVI,Crop_3,Crop_3,,,,,,,,,,,,,,,,,,,no,
NIH_Leech_Microbiome,PureCulture,A081314EMav,A081314EMa,,,A081314EMavD,,,,,16.0,,LinA,2014-09-11,TLS_-80,D29,,,,,,no,"Isolated on p.14, 2014_0904"
NIH_Leech_Microbiome,PureCulture,A081314EMbv,A081314EMb,,,A081314EMbvD,,,,,2.54,,LinA,2014-09-11,TLS_-80,D29,,,,,,no,"Isolated on p.14, 2014_0904"
NIH_Leech_Microbiome,PureCulture,A081314EMcv,A081314EMc,,,A081314EMcvD,,,,,2.58,,LinA,2014-09-11,TLS_-80,D29,,,,,,no,"Isolated on p.14, 2014_0904"
NIH_Leech_Microbiome,PureCulture,A081314EMdv,A081314EMd,,,A081314EMdvD,,,,,4.78,,LinA,2014-09-11,TLS_-80,D29,,,,,,no,"Isolated on p.14, 2014_0904"
NIH_Leech_Microbiome,ContBlood,A081314EMev,A081314EMe,,,A081314EMevD,,,,,2.4,,LinA,2014-09-11,TLS_-80,D29,,,,,,no,"Isolated on p.14, 2014_0904"
NIH_Leech_Microbiome,ContBlood,A0dF081314EMai,A0dF081314EMa,,,A0dF081314EMaiD,,,,,12.0,,McClureE,2014-08-19,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A0dF081314EMbi,A0dF081314EMb,,,A0dF081314EMbiD,,,,,12.0,,McClureE,2014-08-19,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A0dF081314EMci,A0dF081314EMc,,,A0dF081314EMciD,,,,,9.14,,McClureE,2014-08-19,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A0dF081314EMdi,A0dF081314EMd,,,A0dF081314EMdiD,,,,,12.0,,McClureE,2014-08-19,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A0dF081314EMei,A0dF081314EMe,,,A0dF081314EMeiD,,,,,12.0,,McClureE,2014-08-19,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMai,A3dF081614EMa,,,A3dF081614EMaiD,,,,,4.11,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMaos,A3dF081614EMa,,,A3dF081614EMaosD,,,,,4.11,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMau,A3dF081614EMa,,,A3dF081614EMauD,,,,,5.76,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMbi,A3dF081614EMb,,,A3dF081614EMbiD,,,,,16.7,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMbos,A3dF081614EMb,,,A3dF081614EMbosD,,,,,0.626,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMbu,A3dF081614EMb,,,A3dF081614EMbuD,,,,,9.56,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
