Project_Name,Subproject,Site_ID,Event_ID,Source_ID,Sample_ID,Sample_Alt_Name,Sample_Type,Nucleic_Acids_ID,Storage_Location,Storage_Box,Sample_Collector,Fee,Grant_ID,Date_Billed,Fee_Collected,Date_Collected,Empty,Notes
NIH_Leech_Microbiome,PureCulture,USA,AnaFeed2014,A081314EMa,A081314EMav,A081314EMa.v,Vomit,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,PureCulture,USA,AnaFeed2014,A081314EMb,A081314EMbv,A081314EMb.v,Vomit,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,PureCulture,USA,AnaFeed2014,A081314EMc,A081314EMcv,A081314EMc.v,Vomit,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,PureCulture,USA,AnaFeed2014,A081314EMd,A081314EMdv,A081314EMd.v,Vomit,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A081314EMe,A081314EMev,A081314EMe.v,Vomit,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A0dF081314EMa,A0dF081314EMai,A0dF081314EMa.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A0dF081314EMb,A0dF081314EMbi,A0dF081314EMb.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A0dF081314EMc,A0dF081314EMci,A0dF081314EMc.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A0dF081314EMd,A0dF081314EMdi,A0dF081314EMd.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A0dF081314EMe,A0dF081314EMei,A0dF081314EMe.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-13,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMa,A3dF081614EMai,A3dF081614EMa.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMa,A3dF081614EMaos,A3dF081614EMa.os,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMa,A3dF081614EMau,A3dF081614EMa.u,Intestinum,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMb,A3dF081614EMbi,A3dF081614EMb.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMb,A3dF081614EMbos,A3dF081614EMb.os,OralSucker,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMb,A3dF081614EMbu,A3dF081614EMb.u,Intestinum,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMc,A3dF081614EMci,A3dF081614EMc.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMc,A3dF081614EMcos,A3dF081614EMc.os,OralSucker,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMc,A3dF081614EMcu,A3dF081614EMc.u,Intestinum,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMd,A3dF081614EMdi,A3dF081614EMd.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMd,A3dF081614EMdos,A3dF081614EMd.os,OralSucker,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMd,A3dF081614EMdu,A3dF081614EMd.u,Intestinum,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMe,A3dF081614EMei,A3dF081614EMe.i,ILF,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMe,A3dF081614EMeos,A3dF081614EMe.os,OralSucker,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,ContBlood,USA,AnaFeed2014,A3dF081614EMe,A3dF081614EMeu,A3dF081614EMe.u,Intestinum,,OUT,OUT,McClureE,,,,,2014-08-16,yes,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dA061113EM,A4dA061113EMa,A4dA061113EMa,Animal,,BPB431,Embed02,McClureE,,,,,2013-06-11,no,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dA061113EMa,A4dA061113EMac,A4dA061113EMa.c,Crop,,OUT,OUT,McClureE,,,,,2013-06-11,yes,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dA061113EM,A4dA061113EMb,A4dA061113EMb,Animal,,BPB431,Embed02,McClureE,,,,,2013-06-11,no,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dB061113EM,A4dB061113EMa,A4dB061113EMa,Animal,,BPB431,Embed02,McClureE,,,,,2013-06-11,no,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dB061113EMa,A4dB061113EMac,A4dB061113EMa.c,Crop,,OUT,OUT,McClureE,,,,,2013-06-11,yes,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dB061113EM,A4dB061113EMb,A4dB061113EMb,Animal,,BPB431,Embed02,McClureE,,,,,2013-06-11,no,
NIH_Leech_Microbiome,Food,USA,ArgHClInject2013,A4dB061113EM,A4dB061113EMc,A4dB061113EMc,Animal,,BPB431,Embed02,McClureE,,,,,2013-06-11,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvFeed2017,AvA3w2F053017EMa,AvA3w2F053017EMab,AvA3w2F053017EMa.b,Bladder,,BPB428_-80,F14,McClureE,,,,,2017-05-30,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvFeed2017,AvA3w2F053017EMa,AvA3w2F053017EMai,AvA3w2F053017EMa.i,ILF,,BPB428_-80,F14,McClureE,,,,,2017-05-30,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvFeed2017,AvA3w2F053017EMa,AvA3w2F053017EMaCi,AvA3w2F053017EMaC.i,ILF,,BPB428_-80,F14,McClureE,,,,,2017-05-30,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMai,BAa2dF110414EMa.i,ILF,,OUT,OUT,McClureE,,,,,2014-11-04,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMau,BAa2dF110414EMa.u,Intestinum,,BPB436_-80,D09,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMa1,BAa2dF110414EMa1,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMa2,BAa2dF110414EMa2,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMa3,BAa2dF110414EMa3,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMa4,BAa2dF110414EMa4,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMa,BAa2dF110414EMa5,BAa2dF110414EMa5,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMbi,BAa2dF110414EMb.i,ILF,,OUT,OUT,McClureE,,,,,2014-11-04,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMbu,BAa2dF110414EMb.u,Intestinum,,BPB436_-80,D09,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMb1,BAa2dF110414EMb1,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMb2,BAa2dF110414EMb2,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMb3,BAa2dF110414EMb3,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMb,BAa2dF110414EMb4,BAa2dF110414EMb4,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMc,BAa2dF110414EMci,BAa2dF110414EMc.i,ILF,,OUT,OUT,McClureE,,,,,2014-11-04,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMc,BAa2dF110414EMcu,BAa2dF110414EMc.u,Intestinum,,BPB436_-80,D09,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMc,BAa2dF110414EMc1,BAa2dF110414EMc1,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMc,BAa2dF110414EMc2,BAa2dF110414EMc2,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BBEZadults2014,BAa2dF110414EMc,BAa2dF110414EMc3,BAa2dF110414EMc3,Anterior,,BPB431,Embed01,McClureE,,,,,2014-11-04,no,
